layer,out_features,in_features,svd_lora_rank,rank_r,perturb_scale,mean_abs_S,max_abs_S,mean_abs_P,max_abs_P,mean_ratio_P_over_S,max_ratio_P_over_S,mean_abs_QS,max_abs_QS,mean_abs_Q_delta,max_abs_Q_delta,zero_frac_Q_delta,mean_ratio_Q_delta_over_P,max_ratio_Q_delta_over_P
model.layers.0.self_attn.o_proj,3072,3072,8,2,0.001,0.0006640030769631267,0.22332003712654114,0.0010026531526818871,0.018381835892796516,1.510012810885764,0.08231162832191681,0.0006625299574807286,0.22216796875,0.00100167584605515,0.018233299255371094,8.477104711346328e-05,0.9990252794556891,0.9919193796369583
model.layers.0.self_attn.q_proj,3072,3072,8,2,0.001,0.0072715068235993385,1.210995078086853,0.001005220809020102,0.017247693613171577,0.13824105971512046,0.01424257944996748,0.007253941614180803,1.2099609375,0.0010114948963746428,0.04443359375,0.1552785187959671,1.0062415016663422,2.5762049550826505
model.layers.1.self_attn.o_proj,3072,3072,8,2,0.001,0.0006483982433564961,0.23157764971256256,0.0009890184737741947,0.015145106241106987,1.5253256527260857,0.06539968887284807,0.0006472470704466105,0.232421875,0.0009879739955067635,0.015499413013458252,0.0008264117641374469,0.9989439244107894,1.0233941424187307
model.layers.1.self_attn.q_proj,3072,3072,8,2,0.001,0.004813298583030701,0.37676867842674255,0.001002126606181264,0.016022775322198868,0.2081995514914168,0.04252682412217627,0.004801170900464058,0.3759765625,0.001009986619465053,0.0234375,0.03271887078881264,1.0078433336020693,1.4627615708702069
